electricity_always_on,electricity_refrigeration,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,stove_heating,grill_heating,oven_heating,fridge,freezer,combi_fridge_freezer,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
48.521,14.4428,7.722,5.088,13.7146,41.9282,1.3274,132.744,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,4th
42.2569,15.1963,11.4235,7.0962,12.9326,48.7857,4.7292,142.42,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,5th
56.5756,16.015,9.3727,4.664,5.9343,47.7005,3.2929,143.555,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,6th
54.4655,16.9648,8.6265,2.8382,1.9074,47.6438,1.3378,133.784,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,7th
82.2079,27.8064,0.0,0.0,0.0,0.0,24.2837,134.298,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,8th
43.6175,15.370999999999999,13.7776,5.3206,15.2885,56.9965,3.0253,153.39700000000005,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,9th
6.1622,21.5591,4.5355,5.5,10.888,19.1187,0.8742,73.6305,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2th
6.0647,19.9534,6.8999,5.0,12.482999999999999,23.9178,3.6482,81.8033,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3th
7.615,16.1415,6.8971,4.8,8.0758,22.2853,4.3018,72.5774,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4th
5.8696,11.4477,17.0397,7.5182,14.9313,43.9179,13.0941,124.428,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5th
19.5568,37.0034,11.2126,4.4,7.2070000000000025,38.9429,7.7212,126.044,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6th
72.5801,29.9487,0.0,0.0,0.0,0.0,20.3412,122.87,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7th
57.2783,56.691,0.0,0.0,0.0,0.0,2.3107,116.28,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8th
14.4333,0.0,3.1373,3.6766,24.3315,31.9683,6.5125,101.75299999999999,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2th
16.7778,0.0,2.2902,10.2355,17.7395,27.2158,5.3966,87.2165,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3th
11.9693,0.0,2.6351,7.3629,9.3473,19.9892,4.8497,60.5161,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4th
4.4277,5.9002,0.0,0.0,0.0,0.0,4.0793,14.4072,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,5th
23.8422,34.3736,0.608,1.8219,3.764,26.6452,3.0862,94.141,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,6th
