electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,stove_heating,grill_heating,oven_heating,fridge,freezer,combi_fridge_freezer,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
11.024397020635412,6.801778214732253,0.0,4.1586073500967125,10.460690126847409,9.60000854910929,41.48594205841179,0.0,16.468683544033254,100.0,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,7th
16.754372201368692,24.97230033915489,1.22675099272205,1.66837652227439,6.6593846933725995,12.857832546799756,30.443073877831832,0.0,5.41778813078585,100.0,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,9th
34.72266665869173,0.0,0.0,17.262045391335036,3.4052473077118615,16.505423454083815,22.08080004545713,0.0,6.02351808266618,100.0,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2th
37.150137015177066,0.0,0.0,18.015177065767286,1.682862563237774,16.367306070826306,18.247523187183813,0.0,8.537257588532883,100.0,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,3th
44.233839259746,0.0,0.0,17.19065418547284,1.0785496536791874,10.962319433822024,18.12254263031465,0.0,8.412310277595251,100.0,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,4th
27.601637893065995,17.644329514780722,0.0,16.88163649762994,1.8456386082269678,8.71284106419442,18.51303206450403,0.0,8.800840750221308,100.0,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,5th
18.0186326169907,13.44510701090757,0.0,19.658154247675057,5.063430185500256,9.548830781259465,21.989048382034724,0.0,12.276824306094696,100.0,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,6th
23.822064660369772,17.2905571744373,0.0,17.302897658762056,3.261624547829582,7.718203627411575,20.158416649919612,0.0,10.446204280546624,100.0,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,7th
33.62162923326058,8.919326902767022,0.0,17.073604168133492,1.684292050975146,9.60428078574949,19.404492008730546,0.0,9.692290361191299,100.0,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,8th
11.873940155219595,0.0,0.0,9.44731057377417,19.998564443048764,22.309811134538606,33.719079449105024,0.0,2.6513839666233006,100.0,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2th
15.774144054794057,0.0,0.0,10.293466927752206,12.889911756478398,20.65381583297307,35.72819978129848,0.0,4.660546414736073,100.0,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3th
25.39627861589635,0.0,0.0,9.651083565426314,11.771596600485305,13.146333220682664,35.55113887654319,0.0,4.483460454724753,100.0,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4th
24.204503849747812,12.70471423341111,0.0,4.4278930485958945,13.988601030606723,4.7232498538243375,38.95103251930338,0.0,1.0000054645107348,100.0,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5th
19.627899240980977,0.0,0.0,22.81177235477335,9.61852490247664,15.895702924188814,19.34046992651728,0.0,12.705706250566994,100.0,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2th
20.642841397553177,0.0,0.0,21.863141817952794,9.057210561949898,14.994016784494024,20.038812174269026,0.0,13.404016627040985,100.0,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,3th
18.087822869757847,0.0,0.0,22.58624845523727,8.58830686352906,12.79997092211335,22.2861723170867,0.0,15.651402051521423,100.0,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,4th
18.3209884313255,7.556535455371508,0.0,21.09459879396273,8.889312841976077,9.600033042116898,20.587795658108497,0.0,13.95097179225949,100.0,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,5th
20.816415968749894,8.134655665634888,0.0,20.67617696891898,8.953280122571094,6.399991718169303,20.82811405461177,0.0,14.19133099371616,100.0,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,6th
18.739316646045495,7.238412486913487,0.0,19.998286856381462,9.463786047396974,6.4000190349290955,22.398496240601503,0.0,15.761682687731989,100.0,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,7th
22.849434645499347,0.0,0.0,19.65850909483327,4.551133706639169,20.733941653976665,21.94306886173695,0.0,10.263912037314595,100.0,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2th
32.106463901521046,0.0,0.0,15.138760533997015,5.2620422305386025,15.156450633946077,25.021731372782252,0.0,7.314398826353368,100.0,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3th
