household_id,month,electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
201,3,52.4419,0.0,0.0,0.0,55.542,23.0093,38.0914,50.9074,0.0,0,34.0521,254.044,PT.06,PS.01,PA.02,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
201,4,47.2756,0.0,0.0,0.0,59.033,22.447,33.4549,58.2487,0.0,0,40.9076,261.367,PT.06,PS.01,PA.02,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
201,5,46.5758,19.2103,0.0,0.0,53.6269,22.5985,24.4053,52.3385,0.0,0,35.4663,254.22099999999998,PT.06,PS.01,PA.02,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
201,6,60.3241,23.5735,0.0,0.0,59.9177,25.9458,18.5466,60.358000000000004,0.0,0,41.1252,289.791,PT.06,PS.01,PA.02,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
201,7,19.6894,7.6054,0.0,0.0,21.0122,9.9436,6.7245,23.5341,0.0,0,16.5608,105.07,PT.06,PS.01,PA.02,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
818,2,19.0562,0.0,0.0,0.0,16.395,3.7956,17.2919,18.3003,0.0,0,8.56,83.399,PT.01,PS.04,PA.01,OWN.01,OCC.02,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
818,3,21.0533,0.0,0.0,0.0,9.927,3.4505,9.9386,16.4076,0.0,0,4.7963,65.5734,PT.01,PS.04,PA.01,OWN.01,OCC.02,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
818,4,59.8622,0.0,0.0,0.0,35.7288,10.9822,26.506999999999998,44.6922,0.0,0,21.4274,199.2,PT.01,PS.04,PA.01,OWN.01,OCC.02,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
818,5,0.7251,0.3753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.3565,6.4569,PT.01,PS.04,PA.01,OWN.01,OCC.02,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
818,6,58.0269,22.6447,0.0,0.0,21.8144,1.665,2.67,29.7051,112.76299999999999,0,5.6771,254.96599999999998,PT.01,PS.04,PA.01,OWN.01,OCC.02,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
