electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,month,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
17.02031320404241,9.874516078604467,0.0,0.0,5.706014878571363,3.975465989866387,23.034934297038077,39.38885670409299,0.0,0.0,1.000009195655972,100.0,11th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16.774498585820176,7.112747311700174,0.0,0.0,6.897394717452643,1.6679512557848952,27.252756207621292,39.294675689349,0.0,0.0,1.0000271631179185,100.0,12th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16.335986502023765,7.773745314500976,0.0,0.0,10.495821609848662,12.2738808551211,24.18488675347498,24.152637433514986,0.0,0.0,4.783228484095009,100.0,1th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
16.58469130895601,8.220085894718247,0.0,0.0,9.64899642289348,15.21319113230878,21.138822646175583,24.281763381028085,0.0,0.0,4.9124492139198015,100.0,2th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
16.269507859659132,7.221413366130132,0.0,0.0,3.0521474456444224,28.49876608330351,2.845597595140764,40.980835941557835,0.0,0.0,1.1319200927926887,100.0,3th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
20.7259896195981,9.62890215239792,0.0,0.0,2.931019280061054,24.138326304619493,1.9343912383813384,39.513635299447536,0.0,0.0,1.1278273216799588,100.0,4th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
23.397399900403684,16.62877062120554,0.0,0.0,2.8178340979646332,19.900368365101734,1.4847621166689624,34.64588564788817,0.0,0.0,1.1250145686102078,100.0,5th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
25.795940794967308,16.975714860532428,0.0,0.0,2.580593521366856,18.46505631054519,1.027045502727914,34.155212024453874,0.0,0.0,1.000436985406418,100.0,6th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
27.510110896581246,14.24893986078845,0.0,0.0,2.4889527028533465,20.012619112381444,0.9072383763706007,33.83197406616339,0.0,0.0,1.0001203943584096,100.0,7th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
24.349265840645533,12.303673001455092,0.0,0.0,2.576833193703426,22.6324352925614,1.3610388465099872,35.776665637814716,0.0,0.0,1.0001763746196923,100.0,8th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
23.790211812332828,27.569579989879273,0.0,0.0,2.69355888093689,11.91354008530326,1.8145015542543195,31.218101641003393,0.0,0.0,0.9997831273042724,100.0,9th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
