Id,eui64,appliance_type,usage_in_kwh,usage_frequency,score,household_id,period_first,period_last,snapshot_taken_at,calculated_until,seconds_of_data_missing,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
32,9574384526952505694,WashingMachine,9.3087,24,86,7,2016-04-01,2016-04-30,1468333797,1462053600,14975,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
33,9574384526952505694,WashingMachine,14.0934,33,75,7,2016-05-01,2016-05-31,1468333797,1464732000,11118,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
34,9574384526952505694,WashingMachine,6.357,14,93,7,2016-06-01,2016-06-30,1468333797,1467324000,117124,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
35,9574384526952505694,WashingMachine,3.91883,11,92,7,2016-07-01,2016-07-31,1468333797,1470002400,1281356,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
36,9574384526952505694,WashingMachine,2.64833,6,90,7,2016-08-01,2016-08-31,1470103394,1470866400,0,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0
37,9574384526952503004,AlwaysOn,99.7415,1,-27,79,2016-02-01,2016-02-29,1468333798,1456786800,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
38,9574384526952503004,AlwaysOn,120.045,2,-33,79,2016-03-01,2016-03-31,1468333798,1459461600,82800,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
39,9574384526952503004,AlwaysOn,116.678,1,-29,79,2016-04-01,2016-04-30,1468333798,1462053600,4778,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
40,9574384526952503004,AlwaysOn,105.675,1,-25,79,2016-05-01,2016-05-31,1468333798,1464732000,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
41,9574384526952503004,DishWasher,0,0,100,79,2016-02-01,2016-02-29,1468333798,1456786800,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
42,9574384526952503004,DishWasher,0,0,100,79,2016-03-01,2016-03-31,1468333798,1459461600,82800,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
43,9574384526952503004,DishWasher,0,0,100,79,2016-04-01,2016-04-30,1468333798,1462053600,4778,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
44,9574384526952503004,DishWasher,0,0,100,79,2016-05-01,2016-05-31,1468333798,1464732000,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
45,9574384526952503004,Dryer,0.977,2,98,79,2016-02-01,2016-02-29,1468333798,1456786800,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
46,9574384526952503004,Dryer,0.5077,3,99,79,2016-03-01,2016-03-31,1468333798,1459461600,82800,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
47,9574384526952503004,Dryer,0.6978,4,99,79,2016-04-01,2016-04-30,1468333798,1462053600,4778,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
48,9574384526952503004,Dryer,0.4097,2,99,79,2016-05-01,2016-05-31,1468333798,1464732000,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
49,9574384526952503004,Oven,5.933,8,46,79,2016-02-01,2016-02-29,1468333798,1456786800,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
50,9574384526952503004,Oven,3.9405,5,69,79,2016-03-01,2016-03-31,1468333798,1459461600,82800,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
51,9574384526952503004,Oven,3.2067,5,75,79,2016-04-01,2016-04-30,1468333798,1462053600,4778,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
52,9574384526952503004,Oven,2.82,4,76,79,2016-05-01,2016-05-31,1468333798,1464732000,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
53,9574384526952503004,Refrigeration,26.2813,1,79,79,2016-02-01,2016-02-29,1468333798,1456786800,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
54,9574384526952503004,Refrigeration,32.598,2,77,79,2016-03-01,2016-03-31,1468333798,1459461600,82800,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
55,9574384526952503004,Refrigeration,29.7945,1,80,79,2016-04-01,2016-04-30,1468333798,1462053600,4778,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
56,9574384526952503004,Refrigeration,11.672,1,99,79,2016-05-01,2016-05-31,1468333798,1464732000,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
57,9574384526952503004,WashingMachine,0,0,110,79,2016-02-01,2016-02-29,1468333798,1456786800,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
58,9574384526952503004,WashingMachine,0,0,110,79,2016-03-01,2016-03-31,1468333798,1459461600,82800,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
59,9574384526952503004,WashingMachine,0,0,110,79,2016-04-01,2016-04-30,1468333798,1462053600,4778,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
60,9574384526952503004,WashingMachine,3.1226,7,95,79,2016-05-01,2016-05-31,1468333798,1464732000,259200,PT.02,PS.03,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0
61,9574384526952513951,AlwaysOn,48.6928,1,59,128,2016-02-01,2016-02-29,1468333799,1456786800,259200,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
62,9574384526952513951,AlwaysOn,57.1166,2,58,128,2016-03-01,2016-03-31,1468333799,1459461600,86900,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
63,9574384526952513951,AlwaysOn,56.501,1,59,128,2016-04-01,2016-04-30,1468333799,1462053600,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
64,9574384526952513951,AlwaysOn,58.48,1,59,128,2016-05-01,2016-05-31,1468333799,1464732000,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
65,9574384526952513951,AlwaysOn,58.1932,1,58,128,2016-06-01,2016-06-30,1468333799,1467324000,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
