,electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
490,49.8435,0.0,0.0,0.0,37.4536,8.3681,34.8757,35.2647,0.0,0,23.5343,189.34,PT.04,PS.02,PA.01,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
491,43.6374,0.0,0.0,0.0,28.9862,7.3382,25.9401,29.3589,0.0,0,19.755,155.016,PT.04,PS.02,PA.01,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3
492,73.6635,0.0,0.0,0.0,46.9521,13.4471,33.4405,48.949,0.0,0,33.4655,249.918,PT.04,PS.02,PA.01,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
493,35.3615,13.0326,0.0,0.0,15.0146,13.3509,7.4547,16.5135,0.0,0,9.6715,110.399,PT.04,PS.02,PA.01,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5
494,8.7684,4.953,0.0,0.0,1.1299,4.4,0.2533,11.8379,0.0,0,0.3166,31.659,PT.04,PS.02,PA.01,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6
495,32.7982,15.425,0.0,0.0,34.5423,17.322,14.8145,44.2978,0.0,0,25.9812,185.181,PT.04,PS.02,PA.01,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7
496,14.3022,8.5153,0.0,0.0,9.4294,4.4830000000000005,4.7398,14.916,0.0,0,5.9923,62.378,PT.04,PS.02,PA.01,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8
497,10.1985,0.0,0.0,0.0,28.4831,8.1745,25.8418,29.6868,0.0,0,17.8013,120.186,PT.05,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,2
498,21.154,0.0,0.0,0.0,45.0519,15.0078,40.8749,51.7539,0.0,0,31.4519,205.294,PT.05,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,3
499,13.6618,0.0,0.0,0.0,20.7178,7.9185,15.695,25.0367,0.0,0,15.3115,98.3413,PT.05,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,4
500,17.432000000000002,24.7303,0.0,0.0,18.0261,3.082,9.6847,22.0374,0.0,0,11.5036,106.496,PT.05,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,5
501,15.825,23.8631,0.0,0.0,17.4187,3.5935,7.8889,21.8993,0.0,0,11.7834,102.272,PT.05,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,6
502,16.6284,26.0437,0.0,0.0,16.9165,3.3104,7.687,21.962,0.0,0,11.655,104.203,PT.05,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,7
503,5.8049,9.2201,0.0,0.0,10.6506,3.4208,6.4685,14.916,0.0,0,7.4581,57.93899999999999,PT.05,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,8
504,30.0011,0.0,0.0,0.0,8.0186,13.5043,34.9896,34.4333,0.0,0,25.2116,146.159,PT.05,PS.02,PA.01,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2
505,40.5931,0.0,0.0,0.0,9.7012,19.0686,43.5768,46.9211,0.0,0,34.6488,194.51,PT.05,PS.02,PA.01,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3
506,50.2317,0.0,0.0,0.0,9.1853,19.1193,32.2293,46.5897,0.0,0,34.4857,191.841,PT.05,PS.02,PA.01,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4
507,36.9727,25.6905,0.0,0.0,8.4061,17.9378,23.0831,41.3357,0.0,0,29.7733,183.199,PT.05,PS.02,PA.01,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5
508,46.0307,23.9408,0.0,0.0,7.4639,14.3489,14.285,37.3614,0.0,0,26.6284,170.05900000000003,PT.05,PS.02,PA.01,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6
509,24.9686,24.8513,0.0,0.0,3.7711,4.467,6.169,15.1706,0.0,0,9.5564,88.954,PT.05,PS.02,PA.01,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7
510,13.3166,0.0,0.0,0.0,51.862,15.0146,59.3676,53.5894,0.0,0,33.1405,226.291,PT.01,PS.04,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2
511,33.4536,0.0,0.0,0.0,94.3847,32.9179,107.901,109.001,0.0,0,68.6687,446.327,PT.01,PS.04,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3
512,26.1366,0.0,0.0,0.0,48.9634,19.66,46.6728,60.7738,0.0,0,38.979,241.186,PT.01,PS.04,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,4
