,household_id,month,electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
33,2144,7,17.8597,43.5276,0.0,0.0,7.0809,4.25,3.8242,32.3079,0.0,0,4.2767,113.12700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2152,7,133.335,43.1619,0.0,0.0,14.8507,38.69,5.3335,88.5738,0.0,0,6.6559,330.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2168,2,69.7684,16.4283,0.0,0.0,9.6388,4.532,25.6133,39.7176,0.0,0,1.6737,167.372,PT.03,PS.03,PA.02,OWN.01,OCC.02,OT.05,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
36,2181,2,124.934,34.9581,0.0,0.0,11.8893,5.83,49.8231,79.2328,0.0,0,3.0976,309.765,PT.02,PS.04,PA.03,OWN.01,OCC.05,OT.05,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
37,2190,7,37.1161,23.2903,0.0,0.0,11.3835,7.2032,7.462000000000001,41.7609,0.0,0,8.0069,136.22299999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2203,2,52.5829,23.1878,0.0,0.0,19.5089,19.5872,36.5849,42.9676,0.0,0,6.4686,200.888,PT.04,PS.03,PA.03,OWN.01,OCC.04,OT.04,SH.01,WH.01,STH.02,GH.04,OH.02,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2216,2,104.663,29.38,0.0,0.0,9.1462,6.1215,23.410999999999998,63.1917,0.0,0,2.383,238.296,PT.04,PS.04,PA.03,OWN.01,OCC.04,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
40,2225,7,130.38,28.131999999999998,0.0,0.0,4.8593,4.25,1.5283,19.9803,0.0,0,1.9104,191.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2243,4,52.3476,27.9353,0.0,0.0,12.3161,13.7429,15.1979,49.94,0.0,0,5.9705,177.45,PT.04,PS.02,PA.04,OWN.02,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.04,OH.02,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
42,2253,2,63.333999999999996,32.623000000000005,0.0,0.0,9.6712,5.665,34.5228,55.5465,0.0,0,2.0340000000000003,203.396,PT.04,PS.03,PA.04,OWN.01,OCC.03,OT.04,SH.01,WH.04,STH.01,GH.02,OH.02,SOL.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
43,2263,2,51.8746,33.9221,0.0,0.0,38.9185,40.2699,78.994,110.111,0.0,0,15.1684,369.25800000000004,PT.02,PS.03,PA.03,OWN.01,OCC.02,OT.05,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
44,2272,2,69.997,0.0,0.0,0.0,5.5772,8.8341,16.0282,33.5117,0.0,0,1.3503,135.298,PT.05,PS.03,PA.02,OWN.02,OCC.01,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,2299,2,11.9205,6.5967,2.7116,0.0,2.6105,5.5,6.8359,12.3107,0.0,0,0.4898,48.9758,PT.04,PS.02,PA.03,OWN.02,OCC.01,OT.03,SH.07,WH.05,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2311,2,26.8172,0.0,0.0,0.0,47.7833,16.489,46.2179,45.0164,0.0,0,24.5575,206.88099999999997,PT.02,PS.03,PA.03,OWN.01,OCC.02,OT.03,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
47,2320,7,47.94,31.6334,0.0,0.0,2.6228,4.25,0.8249,14.8108,0.0,0,1.0311,103.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2329,2,139.66899999999998,35.8457,0.0,0.0,13.1203,4.664,57.7519,87.3678,0.0,0,3.4184,341.837,PT.05,PS.04,PA.03,OWN.01,OCC.04,OT.05,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
